PRODUTO,VENDA,CATEGORIA,SUBCATEGORIA
IP 13 128 LACRADO,2999.00,Smartphones,iPhone
IP 14 128 LACRADO,3499.00,Smartphones,iPhone
IP 15 128 LACRADO,3899.00,Smartphones,iPhone
IP 15 PRO MAX 256 LACRADO,5999.00,Smartphones,iPhone
IP 16 128 LACRADO,4599.00,Smartphones,iPhone
IP 17 256 LACRADO,5499.00,Smartphones,iPhone
IP 17 AIR 256 LACRADO,,Smartphones,iPhone
IP 17 PRO 256 LACRADO,,Smartphones,iPhone
IP 17 PRO MAX 256 LACRADO,8699.00,Smartphones,iPhone
IP 17 PRO MAX 512 LACRADO,,Smartphones,iPhone
,,,
REALME NOTE 60X 64,699.00,Smartphones,Celular (outros)
REALME NOTE 60X 128,799.00,Smartphones,Celular (outros)
REALME NOTE 60 3/64,699.00,Smartphones,Celular (outros)
REALME NOTE 60 128,799.00,Smartphones,Celular (outros)
REALME NOTE 70 256,999.00,Smartphones,Celular (outros)
REALME C67 128,1199.00,Smartphones,Celular (outros)
REALME C71 128,949.00,Smartphones,Celular (outros)
REALME C71 4/256,1049.00,Smartphones,Celular (outros)
REALME C71 8/256,1199.00,Smartphones,Celular (outros)
REALME C71 8/256 5G,,Smartphones,Celular (outros)
REALME C75 256,1599.00,Smartphones,Celular (outros)
REALME C85 8/256,1699.00,Smartphones,Celular (outros)
REALME C75 6/128,1299.00,Smartphones,Celular (outros)
REALME C75X 8/256,1499.00,Smartphones,Celular (outros)
,,,
INFINIX HOT50I 256,899.00,Smartphones,Celular (outros)
,,,
XM RD A5 64,699.00,Smartphones,Celular (outros)
XM RD A5 128,799.00,Smartphones,Celular (outros)
XM RD 15C 128,999.00,Smartphones,Celular (outros)
XM RD 15C 4/256,1099.00,Smartphones,Celular (outros)
XM RD 15C 8/256,1199.00,Smartphones,Celular (outros)
